date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:55	73128/73128	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202019%2023:38:52%20GMT	https://www.straightforwardsports.net/category/free-agency/	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/category/free-agency/index.html	(from )
16:38:55	1483/1483	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202019%2004:28:10%20GMT	https://www.straightforwardsports.net/wp-content/plugins/super-socializer/images/close.png	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/wp-content/plugins/super-socializer/images/close.png	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:56	934/934	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202019%2004:28:10%20GMT	https://www.straightforwardsports.net/wp-content/plugins/super-socializer/images/logo.png	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/wp-content/plugins/super-socializer/images/logo.png	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:56	96873/96873	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20May%202019%2004:22:23%20GMT	https://www.straightforwardsports.net/wp-includes/js/jquery/jquery.js	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/wp-includes/js/jquery/jquery.js	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:56	703407/703407	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Aug%202019%2016:25:13%20GMT	https://www.straightforwardsports.net/wp-content/cache/autoptimize/css/autoptimize_3899da1b8ade1aa8e9ef367b9e60bab6.css	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/wp-content/cache/autoptimize/css/autoptimize_3899da1b8ade1aa8e9ef367b9e60bab6.css	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:56	17511/17511	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273548930d8015a67a49758d8fe546f33%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202019%2023:38:56%20GMT	https://www.straightforwardsports.net/category/free-agency/OneSignalSDKUpdaterWorker.js.php	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/category/free-agency/OneSignalSDKUpdaterWorker.js.php	(from https://www.straightforwardsports.net/category/free-agency/)
16:38:59	51232/51232	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Aug%202019%2023:38:57%20GMT	http://www.straightforwardsports.net/category/free-agency/OneSignalSDKUpdaterWorker.js.php	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/category/free-agency/OneSignalSDKUpdaterWorker.js.6.delayed	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202019%2023:38:59%20GMT	https://www.straightforwardsports.net/category/free-agency/OneSignalSDKWorker.js.php	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/category/free-agency/OneSignalSDKWorker.js.php	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:02	51204/51204	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Aug%202019%2023:39:00%20GMT	http://www.straightforwardsports.net/category/free-agency/OneSignalSDKWorker.js.php	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.straightforwardsports.net/category/free-agency/OneSignalSDKWorker.js.php	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:02	2777/2777	---M--	200	added ('OK')	image/jpeg	etag:%2266f7c4b2cf750ea3%22	https://i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-1.jpg?fit=32%2C32&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-1e43b.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:02	6264/6264	---M--	200	added ('OK')	image/jpeg	etag:%22effd8f0663cfad58%22	https://i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-1.jpg?fit=192%2C192&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-198d8.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:03	6064/6064	---M--	200	added ('OK')	image/jpeg	etag:%22d65f6525e64e07e0%22	https://i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-1.jpg?fit=180%2C180&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2018/02/cropped-Site-Icon-2-1f9b5.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:03	44343/44343	---MC-	200	added ('OK')	text/javascript	date:Mon,%2029%20Jul%202019%2021:35:27%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/www.google-analytics.com/analytics.js	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:03	94550/94550	---MC-	200	added ('OK')	text/javascript	date:Wed,%2007%20Aug%202019%2023:39:03%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:04	102778/102778	---M--	200	added ('OK')	image/jpeg	etag:%223b3c1bc81b654668%22	https://i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/NBA-logos.jpg?resize=820%2C480&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i2.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/NBA-logos1980.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:04	70399/70399	---M--	200	added ('OK')	image/jpeg	etag:%2297952cf0b33578db%22	https://i0.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/los-angeles-clippers.jpg?resize=820%2C480&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i0.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/los-angeles-clippers1980.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
16:39:04	94896/94896	---M--	200	added ('OK')	image/jpeg	etag:%222af601f3e97320a8%22	https://i0.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/LeBron-Kawhi.jpg?resize=820%2C480&ssl=1	C:/Users/Kevin%20Liu/Downloads/HTT%20Temp/Sports%20Blog/i0.wp.com/www.straightforwardsports.net/wp-content/uploads/2019/07/LeBron-Kawhi1980.jpg	(from https://www.straightforwardsports.net/category/free-agency/)
